Case 1 - Low Confidence ( 122 )
==================================================
HYPONYM(judges, dignitaries)
HYPONYM(banners, items)
HYPONYM(tanks, equipment)
HYPONYM(terrorism, crimes)
HYPONYM(wood, materials)
HYPONYM(astronauts, employees)
HYPONYM(voles, creatures)
HYPONYM(leonard_bernstein, colleagues)
HYPONYM(spouses, members)
HYPONYM(somalia, disaster_areas)
HYPONYM(dinner, florida)
HYPONYM(russia, countries)
HYPONYM(dirt, materials)
HYPONYM(epilepsy, neurological_disorders)
HYPONYM(india, countries)
HYPONYM(commanders, officials)
HYPONYM(italy, countries)
HYPONYM(auditors, advisers)
HYPONYM(city, web_sites)
HYPONYM(chile, countries)
HYPONYM(brokers, insiders)
HYPONYM(fertilizers, pollutants)
HYPONYM(office_buildings, properties)
HYPONYM(unions, special_interests)
HYPONYM(computers, things)
HYPONYM(children, members)
HYPONYM(vulgarity, traits)
HYPONYM(members, visitors)
HYPONYM(shootings, attacks)
HYPONYM(banks, financial_institutions)
HYPONYM(turkey, nations)
HYPONYM(brokerage_firms, third_parties)
HYPONYM(duke_ellington, leaders)
HYPONYM(police_chief, leaders)
HYPONYM(mike_tyson, boxers)
HYPONYM(jews, refugees)
HYPONYM(canada, nations)
HYPONYM(hotel, web_sites)
HYPONYM(computers, devices)
HYPONYM(turkmen, minorities)
HYPONYM(freeman, finalists)
HYPONYM(colds, illnesses)
HYPONYM(blood, bodily_fluids)
HYPONYM(dorothea_lange, photographers)
HYPONYM(iraq, nations)
HYPONYM(blood, specimens)
HYPONYM(restaurants, attractions)
HYPONYM(cribs, girls)
HYPONYM(ministers, supporters)
HYPONYM(payments, restrictions)
HYPONYM(chicago, headliners)
HYPONYM(aloe, tea)
HYPONYM(poland, countries)
HYPONYM(service, odds)
HYPONYM(baseball_caps, head_coverings)
HYPONYM(administrators, staff_members)
HYPONYM(chairman, state_senators)
HYPONYM(physicians, health_care_providers)
HYPONYM(stock, assets)
HYPONYM(restaurants, foreigners)
HYPONYM(brains, nerve_tissue)
HYPONYM(books, artifacts)
